code,name_th,category,notes
63201,โรงแรม,hotel,ประเภทธุรกิจโรงแรม (TSIC) - โปรไฟล์อ้างอิงคำนวณจากค่าเฉลี่ย AMR จริงแบบ anonymized
86101,โรงพยาบาล/สถานพยาบาลเอกชน,hospital,TSIC โดยประมาณ - ควรตรวจสอบ/ปรับตามจริง
47190,ห้างสรรพสินค้า/ศูนย์การค้า,mall,TSIC โดยประมาณ - ควรตรวจสอบ/ปรับตามจริง
MANU,โรงงานอุตสาหกรรม,factory,ครอบคลุม TSIC หมวด 10-33 (กลุ่มกว้าง ควรแยกย่อยเพิ่มเติมภายหลัง)
68100,อาคารสำนักงาน/อสังหาริมทรัพย์ให้เช่า,office,TSIC โดยประมาณ - ควรตรวจสอบ/ปรับตามจริง
UNSPECIFIED,ยังไม่จัดประเภทธุรกิจ,unspecified,ใช้เมื่อยังไม่ทราบประเภทธุรกิจของผู้ใช้ไฟ
34111,การผลิตเยื่อกระดาษ กระดาษ และกระดาษแข็งด้วยเครื่อง,auto,เพิ่มอัตโนมัติจากการนำเข้า AMR (สแกนจากหน้าข้อมูลผู้ใช้ไฟของ PEA)
71919,บริการอื่นๆ ซึ่งเกี่ยวเนื่องกับการขนส่ง,auto,เพิ่มอัตโนมัติจากการนำเข้า AMR (สแกนจากหน้าข้อมูลผู้ใช้ไฟของ PEA)
34120,การผลิตภาชนะและกล่องกระดาษและกระดาษแข็ง,auto,เพิ่มอัตโนมัติจากการนำเข้า AMR (สแกนจากหน้าข้อมูลผู้ใช้ไฟของ PEA)
